Code,Language,URL,SHA256
en-EN,English,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
tr-TR,Turkish,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
zh-CN,Chinese (Simplified),https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
zh-TW,Chinese (Traditional),https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
nl-NL,Dutch,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
cs-CZ,Czech,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
da-DK,Danish,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
fr-FR,French,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
fi-FI,Finnish,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
el-GR,Greek,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
hu-HU,Hungarian,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
de-DE,German,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
nb-NO,Norwegian (Bokmål),https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
it-IT,Italian,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
ja-JP,Japanese,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
pl-PL,Polish,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
ko-KR,Korean,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
ru-RU,Russian,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
pt-PT,Portuguese (Portugal),https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
pt-BR,Portuguese (Brazil),https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
sv-SE,Swedish,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
es-ES,Spanish,https://download.microsoft.com/download/a/2/e/a2ea07b5-5a65-41d7-9ac0-b46ac953ab63/PowerBIReportBuilder.msi,3263f6daf89aabcb655fc29ad7be6380b4dbc576a295c19f6a333a94e3999328
